"epoch","train.box_loss","train.cls_loss","train.dfl_loss","metrics.precision.B.","metrics.recall.B.","metrics.mAP50.B.","metrics.mAP50.95.B.","val.box_loss","val.cls_loss","val.dfl_loss","lr.pg0","lr.pg1","lr.pg2","name"
20,1.3014,0.9338,1.0334,0.29178,0.18795,0.13492,0.03224,3.3979,4.3269,1.9447,0.008218,0.008218,0.008218,"bs_tf-x3"
5,1.6928,1.4013,1.2029,0.22649,0.18377,0.09274,0.02653,2.8888,4.4108,1.7396,0.009703,0.009703,0.009703,"bs-x3"
28,1.0183,0.77206,1.2683,0.29174,0.26247,0.16796,0.04934,2.1411,3.6663,2.3131,0.007426,0.007426,0.007426,"o-bs-bs_tf"
7,1.5814,1.7411,1.8693,0.26528,0.23521,0.13428,0.03978,2.0642,2.9181,2.0865,0.009505,0.009505,0.009505,"o-bs-o"
27,1.2699,1.2749,1.5602,0.30615,0.26908,0.17156,0.05397,2.05,3.0318,2.1989,0.007525,0.007525,0.007525,"o-x3"
